Time (s),Latitude (°),Longitude (°),Altitude (m),Altitude WGS84 (m),Speed (m/s),Direction (°),Distance (km),Horizontal Accuracy (m),Vertical Accuracy (m),Satellites
89.90182028,42.20047161,-70.98283236,1052.160133,1023.009033,110.5500031,197.8000031,10.21093683,9.935046196,2.5,26
90.89914684,42.19952526,-70.98324038,1047.986015,1018.832275,110.5599976,197.6999969,10.32101377,9.935046196,2.5,26
91.90165194,42.19858277,-70.98364916,1043.985717,1014.829346,110.1699982,197.8999939,10.43097745,9.935046196,2.5,26
92.90493486,42.19764067,-70.98405507,1040.711734,1011.552734,109.9899979,197.8000031,10.5411554,9.935046196,2.5,26
93.90104252,42.19669789,-70.98446662,1037.3047,1008.143066,109.7200012,198.3999939,10.65038157,9.935046196,2.5,26
94.90152642,42.19576666,-70.98488856,1033.918883,1004.754639,109.3799973,199,10.75967196,9.935046196,2.5,26
95.89935569,42.19484313,-70.98534256,1030.95738,1001.790527,109.1800003,200.1999969,10.86880409,9.935046196,2.5,26
96.89771955,42.19392495,-70.9858105,1028.044455,998.875,109.0599976,201.1999969,10.97703234,9.935046196,2.616013288,26
97.89750106,42.19302848,-70.98632215,1023.692047,994.5200195,108.7399979,203.6000061,11.08586308,9.935046196,2.549713373,26
98.90108153,42.19214027,-70.98687704,1019.057903,989.8833008,108.4000015,205.6000061,11.1935937,9.935046196,2.589360476,26
99.90352054,42.19127733,-70.98747152,1014.921032,985.7438965,108.1900024,207.8999939,11.30135494,9.935046196,2.610492706,26
100.9040246,42.19043177,-70.98811063,1009.914757,980.7351074,107.9899979,210.3999939,11.40896287,9.935046196,2.532506704,25
101.9022263,42.18960531,-70.98879016,1006.110359,976.9282227,107.7200012,212.6000061,11.51621742,9.935046196,2.564926386,23
102.9044076,42.188813,-70.98953263,1001.175783,971.9912109,107.6600037,215.8999939,11.6239422,9.935046196,2.5,22
